respondent_grade_level,student_race,student_ethnicity,student_gender,student_ell,student_sp_ed,urbanicity,School Belonging,School Teacher-Student Relationships,School Safety,School Climate,School Engagement,Supportive Relationships,Positive Feelings,Emotion Regulation,Challenging Feelings,School Rigorous Expectations,id
3,Pacific Islander,Latinx,Male,English proficient,General education,City - Large,4,4,4,4,4,5,2,2,4,5,1
3,Black,Not Latinx,Female,English proficient,General education,City - Midsize,5,5,4,4,4,4,4,4,4,4,2
3,Pacific Islander,Latinx,Male,English proficient,General education,City - Large,5,5,5,3,3,4,4,3,3,5,3
3,White,Latinx,Female,English proficient,General education,Town - Distant,5,4,3,2,5,5,3,3,2,4,4
3,White,Not Latinx,Female,English proficient,General education,City - Large,3,5,2,5,3,5,4,4,2,4,5
3,Multiracial,Not Latinx,Female,English proficient,General education,City - Large,3,5,4,4,2,4,3,1,5,3,6
3,White,Latinx,Female,English proficient,Special education,City - Midsize,4,5,3,4,2,5,2,4,3,5,7
3,White,Latinx,Male,English proficient,General education,City - Midsize,4,3,4,2,4,3,4,5,2,5,8
3,White,Latinx,Female,English proficient,General education,Suburb - Midsize,5,5,5,5,3,5,3,2,3,4,9
3,Multiracial,Latinx,Female,English proficient,General education,City - Midsize,3,5,5,4,1,5,2,3,4,4,10
3,Asian,Latinx,Male,English proficient,General education,Town - Remote,5,3,4,2,4,5,4,3,4,3,11
3,Asian,Latinx,Female,English proficient,General education,City - Large,5,2,4,3,5,5,5,3,4,4,12
3,White,Not Latinx,Male,English language learner,General education,Suburb - Large,4,5,5,4,3,5,3,3,3,4,13
3,White,Latinx,Female,English proficient,General education,Town - Distant,3,5,3,4,4,5,4,4,4,3,14
3,White,Latinx,Female,English language learner,Special education,Suburb - Large,5,4,5,5,3,5,3,2,4,3,15
3,Asian,Not Latinx,Female,English proficient,General education,Suburb - Large,3,5,3,2,5,5,4,5,4,4,16
3,White,Latinx,Male,English proficient,General education,City - Midsize,1,5,1,2,2,4,3,5,3,4,17
3,White,Not Latinx,Male,English language learner,General education,Rural - Fringe,4,3,3,3,4,5,5,2,4,4,18
3,White,Not Latinx,Female,English proficient,General education,City - Large,4,3,5,5,4,5,4,4,4,3,19
3,White,Not Latinx,Male,English language learner,General education,City - Midsize,4,5,4,4,4,5,3,3,2,4,20
3,Multiracial,Latinx,Female,English proficient,General education,City - Large,4,2,4,3,3,5,2,3,4,4,21
3,Black,Not Latinx,Female,English proficient,General education,City - Small,4,5,5,5,4,5,3,3,4,5,22
3,Black,Latinx,Female,English language learner,Special education,City - Large,5,4,4,4,4,5,5,5,4,5,23
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,5,4,3,4,5,4,5,3,4,24
3,Black,Not Latinx,Female,English language learner,General education,Suburb - Large,4,3,5,4,4,5,5,3,3,4,25
3,Pacific Islander,Not Latinx,Female,English language learner,General education,Suburb - Large,2,4,4,4,4,5,4,4,4,4,26
3,White,Latinx,Male,English proficient,General education,City - Large,4,5,2,4,4,3,4,5,3,4,27
3,White,Latinx,Male,English proficient,General education,Suburb - Large,5,4,5,4,3,5,2,3,3,4,28
3,White,Not Latinx,Male,English proficient,General education,Suburb - Large,5,4,3,4,5,2,5,4,4,5,29
3,White,Latinx,Female,English proficient,Special education,Suburb - Large,4,4,2,3,3,4,4,4,2,4,30
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,2,3,4,5,5,5,4,4,4,31
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,4,4,4,4,2,5,4,3,5,32
3,White,Latinx,Female,English proficient,General education,Suburb - Large,5,4,3,2,4,1,4,3,2,4,33
3,Asian,Not Latinx,Female,English language learner,Special education,City - Large,2,3,5,4,4,5,4,4,4,4,34
3,White,Latinx,Male,English language learner,General education,Rural - Fringe,4,5,2,4,4,4,4,3,4,4,35
3,Multiracial,Not Latinx,Male,English language learner,General education,Suburb - Large,4,5,4,2,5,4,4,3,4,4,36
3,Black,Latinx,Female,English proficient,General education,City - Large,3,5,3,5,4,5,5,4,4,4,37
3,White,Not Latinx,Male,English proficient,General education,City - Large,3,4,2,4,4,5,3,2,2,5,38
3,Asian,Not Latinx,Female,English proficient,General education,City - Midsize,4,1,4,4,3,5,4,3,2,4,39
3,White,Latinx,Male,English language learner,General education,City - Midsize,4,4,3,4,4,4,2,4,3,3,40
3,White,Latinx,Male,English language learner,Special education,City - Large,2,4,4,4,5,5,5,3,5,5,41
3,White,Not Latinx,Female,English proficient,General education,Suburb - Midsize,4,5,5,4,4,4,4,4,3,4,42
3,White,Latinx,Female,English proficient,General education,City: Large,4,3,4,3,3,5,4,2,4,5,43
3,White,Not Latinx,Female,English proficient,General education,Town - Distant,4,4,4,4,3,5,5,2,4,5,44
3,White,Latinx,Male,English proficient,General education,Rural - Fringe,4,2,4,3,2,2,4,3,4,5,45
3,Black,Latinx,Male,English proficient,General education,City - Small,3,5,4,3,4,5,4,3,3,4,46
3,Asian,Latinx,Male,English proficient,General education,City - Large,4,5,4,3,5,5,5,5,4,4,47
3,Black,Latinx,Female,English language learner,General education,Suburb - Large,4,5,3,5,4,5,3,4,4,4,48
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,4,3,4,1,3,4,5,3,5,49
3,White,Not Latinx,Female,English language learner,General education,Suburb - Large,1,4,5,5,4,5,4,2,3,5,50
3,White,Not Latinx,Male,English proficient,General education,City - Large,4,5,4,4,5,4,4,3,4,4,51
3,Asian,Latinx,Female,English proficient,General education,City - Large,4,5,5,4,4,5,4,3,4,5,52
3,Asian,Latinx,Male,English proficient,General education,Suburb - Large,4,5,5,4,3,4,4,4,5,2,53
3,White,Not Latinx,Male,English proficient,Special education,Rural - Fringe,4,5,2,5,4,5,3,4,5,4,54
3,Black,Latinx,Male,English proficient,General education,City - Large,4,5,4,2,3,5,4,4,3,5,55
3,White,Latinx,Male,English proficient,General education,City - Large,4,2,2,4,5,5,3,4,3,4,56
3,White,Latinx,Male,English proficient,General education,City - Midsize,2,5,4,4,4,5,4,4,4,4,57
3,White,Not Latinx,Male,English proficient,Special education,Suburb - Large,3,3,4,5,5,4,5,5,4,4,58
3,Native American,Latinx,Male,English proficient,General education,Town - Distant,4,5,3,3,3,5,4,3,2,5,59
3,Black,Latinx,Male,English proficient,General education,Suburb - Large,5,4,4,5,3,5,4,4,4,5,60
3,Black,Not Latinx,Female,English proficient,General education,Suburb - Large,5,5,4,5,5,5,4,5,3,4,61
3,Black,Latinx,Male,English proficient,General education,Suburb - Large,4,5,4,4,4,5,4,2,4,3,62
3,White,Latinx,Male,English proficient,General education,Suburb - Large,4,4,3,4,4,5,4,3,3,4,63
3,White,Latinx,Male,English proficient,Special education,Rural - Distant,5,3,3,3,3,5,3,4,4,4,64
3,White,Latinx,Female,English proficient,General education,Suburb - Large,5,4,4,5,4,5,5,5,2,4,65
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,5,3,4,5,5,3,4,5,4,66
3,Black,Not Latinx,Male,English proficient,General education,Town - Distant,5,3,1,3,2,5,3,2,3,5,67
3,White,Not Latinx,Male,English proficient,Special education,Rural - Fringe,4,4,4,5,2,5,4,2,4,5,68
3,White,Latinx,Male,English proficient,General education,Suburb - Large,5,4,4,5,3,1,4,4,3,5,69
3,White,Latinx,Female,English language learner,General education,Suburb - Large,3,4,4,3,3,5,4,3,5,4,70
3,Black,Latinx,Male,English language learner,General education,City - Small,4,4,3,4,4,5,4,5,4,3,71
3,White,Not Latinx,Female,English proficient,General education,Suburb - Midsize,3,5,4,4,4,5,4,3,4,4,72
3,White,Latinx,Female,English language learner,General education,City - Large,5,4,4,4,5,5,4,3,4,5,73
3,White,Latinx,Female,English proficient,Special education,Suburb - Large,5,3,3,4,3,4,2,4,4,5,74
3,Black,Latinx,Female,English proficient,Special education,Suburb - Midsize,3,5,4,3,4,4,5,4,2,5,75
3,Multiracial,Latinx,Male,English proficient,General education,City - Large,4,5,5,3,3,5,2,5,4,5,76
3,Multiracial,Latinx,Female,English proficient,General education,City - Large,4,5,2,3,5,5,4,4,2,5,77
3,White,Not Latinx,Female,English proficient,Special education,City - Midsize,3,3,3,4,5,5,4,3,4,4,78
3,White,Not Latinx,Female,English language learner,General education,City - Small,4,5,4,4,3,5,4,3,3,3,79
3,White,Not Latinx,Female,English language learner,General education,City - Midsize,4,5,4,5,4,5,2,3,4,4,80
3,Black,Latinx,Male,English proficient,General education,Suburb - Large,4,4,4,3,2,4,5,4,3,5,81
3,White,Not Latinx,Male,English proficient,General education,Suburb - Large,4,4,3,4,4,5,4,5,5,4,82
3,White,Latinx,Female,English proficient,General education,Suburb - Large,4,3,3,3,3,4,4,4,4,5,83
3,Multiracial,Not Latinx,Female,English proficient,General education,Suburb - Large,4,4,4,3,3,5,5,4,4,5,84
3,White,Not Latinx,Male,English proficient,General education,Suburb - Large,4,3,4,4,3,5,4,3,3,4,85
3,Black,Latinx,Male,English proficient,General education,Suburb - Large,4,5,5,5,4,4,4,2,2,4,86
3,Black,Latinx,Female,English proficient,General education,City - Large,3,5,3,4,5,5,3,3,4,1,87
3,Black,Latinx,Male,English proficient,General education,Suburb - Large,4,5,3,2,5,4,5,5,4,5,88
